Overall rank,country,score,gdp,support
1,Finland,7.769,1.34,1.587
2,Denmark,7.6,1.383,1.573
3,Norway,7.554,1.488,1.582
4,Iceland,7.494,1.38,1.624
5,Netherlands,7.488,1.396,1.522
6,Switzerland,7.48,1.452,1.526
7,Sweden,7.343,1.387,1.487
8,New Zealand,7.307,1.303,1.557
9,Canada,7.278,1.365,1.505
10,Austria,7.246,1.376,1.475
11,Australia,7.228,1.372,1.548
12,Costa Rica,7.167,1.034,1.441
13,Israel,7.139,1.276,1.455
14,Luxembourg,7.09,1.609,1.479
15,United Kingdom,7.054,1.333,1.538
16,Ireland,7.021,1.499,1.553
17,Germany,6.985,1.373,1.454
18,Belgium,6.923,1.356,1.504
19,United States,6.892,1.433,1.457
20,Czech Republic,6.852,1.269,1.487
21,United Arab Emirates,6.825,1.503,1.31
22,Malta,6.726,1.3,1.52
23,Mexico,6.595,1.07,1.323
24,France,6.592,1.324,1.472
25,Taiwan,6.446,1.368,1.43
26,Chile,6.444,1.159,1.369
27,Guatemala,6.436,0.8,1.269
28,Saudi Arabia,6.375,1.403,1.357
29,Qatar,6.374,1.684,1.313
30,Spain,6.354,1.286,1.484
31,Panama,6.321,1.149,1.442
32,Brazil,6.3,1.004,1.439
33,Uruguay,6.293,1.124,1.465
34,Singapore,6.262,1.572,1.463
35,El Salvador,6.253,0.794,1.242
36,Italy,6.223,1.294,1.488
37,Bahrain,6.199,1.362,1.368
38,Slovakia,6.198,1.246,1.504
39,Trinidad & Tobago,6.192,1.231,1.477
40,Poland,6.182,1.206,1.438
41,Uzbekistan,6.174,0.745,1.529
42,Lithuania,6.149,1.238,1.515
43,Colombia,6.125,0.985,1.41
44,Slovenia,6.118,1.258,1.523
45,Nicaragua,6.105,0.694,1.325
46,Kosovo,6.1,0.882,1.232
47,Argentina,6.086,1.092,1.432
48,Romania,6.07,1.162,1.232
49,Cyprus,6.046,1.263,1.223
50,Ecuador,6.028,0.912,1.312
51,Kuwait,6.021,1.5,1.319
52,Thailand,6.008,1.05,1.409
